
Avg Time in [634] Ticks:, Mac TC:,76.0 us
, Encode :,15.0 us
, Mac NTC :,22.0 us
, MAC_TC+Encode EL:,91.0 us

IDLE CPU-L Info >> , CPU#0 : ,91 %
, CPU#1 : ,96  %
, CPU#2 : ,88 %
, CPU#3 : ,95 %


Tick, SFN,  SF ,MAC TC(Diff in us),  Enocde(Diff in us),  MAC_NTC(Diff in us)
3579 ,357,9,75.4299999999,12.01,18.1900000001
3580 ,358,0,75.7799999999,12.14,18.03
3581 ,358,1,74.1899999999,11.78,16.7000000001
3582 ,358,2,75.49,14.7799999999,18.65
3583 ,358,3,73.53,11.27,17.42
3584 ,358,4,76.3999999999,14.8099999999,18.5600000001
3585 ,358,5,83.5900000001,24.35,50.85
3586 ,358,6,74.4400000001,13.77,18.6899999999
3587 ,358,7,75.0,12.9600000001,18.2000000001
3588 ,358,8,74.09,12.46,17.8400000001
3589 ,358,9,74.97,12.0399999999,18.17
3590 ,359,0,74.91,11.98,17.84
3591 ,359,1,73.11,11.8099999999,17.71
3592 ,359,2,76.0399999999,15.4,19.3
3593 ,359,3,73.34,12.66,17.5800000001
3594 ,359,4,74.65,12.0399999999,17.4099999999
3595 ,359,5,74.25,11.88,18.49
3596 ,359,6,86.4900000001,37.5,39.35
3597 ,359,7,77.9299999999,15.92,18.84
3598 ,359,8,74.5700000001,12.3099999999,17.29
3599 ,359,9,79.75,32.9400000001,38.61
3600 ,360,0,73.8600000001,26.34,47.1399999999
3601 ,360,1,74.6799999999,13.77,17.64
3602 ,360,2,73.9,13.12,19.14
3603 ,360,3,75.36,12.96,19.27
3604 ,360,4,74.1899999999,13.1800000001,19.4300000001
3605 ,360,5,83.72,24.12,46.03
3606 ,360,6,75.75,14.8100000001,17.64
3607 ,360,7,77.1899999999,14.59,19.1
3608 ,360,8,75.45,12.24,19.17


,, ,  CPU Profiles for 4 Cores on CPU L 

--- Time analysis for CPU#0 begin (total time is    634026.43us)

   PID   Process Name           Time spent (Pct)
     0     * CPU IDLE *        582046.45us (91%)
     3   ksoftirqd/0              725.42us ( 0%)
   838                            796.35us ( 0%)
   850                          11535.03us ( 1%)
   919                          22566.15us ( 3%)
   922                            715.07us ( 0%)
   925                           7938.35us ( 1%)
  1277                           7703.61us ( 1%)

--- Time analysis for CPU#0 end.


--- Time analysis for CPU#1 begin (total time is    633997.17us)

   PID   Process Name           Time spent (Pct)
     0     * CPU IDLE *        611500.52us (96%)
    11                            702.31us ( 0%)
   915                             37.11us ( 0%)
   922                           2390.62us ( 0%)
  1275                          19366.60us ( 3%)

--- Time analysis for CPU#1 end.


--- Time analysis for CPU#2 begin (total time is    633885.48us)

   PID   Process Name           Time spent (Pct)
     0     * CPU IDLE *        561529.17us (88%)
    16                            677.12us ( 0%)
   900                            283.27us ( 0%)
  1276                          71395.93us (11%)

--- Time analysis for CPU#2 end.


--- Time analysis for CPU#3 begin (total time is    633998.34us)

   PID   Process Name           Time spent (Pct)
     0     * CPU IDLE *        608131.38us (95%)
    20                            713.02us ( 0%)
   918                             29.20us ( 0%)
   922                             25.00us ( 0%)
  1273                          16722.59us ( 2%)
  1274                           8377.15us ( 1%)

--- Time analysis for CPU#3 end.

